date,Open,High,Low,Close,Volume
"Jul 08, 2022",145.26,147.55,145.00,147.04,146.17
"Jul 07, 2022",143.29,146.55,143.28,146.35,145.48
"Jul 06, 2022",141.35,144.12,141.08,142.92,142.07
"Jul 05, 2022",137.77,141.61,136.93,141.56,140.72
"Jul 01, 2022",136.04,139.04,135.66,138.93,138.11
"Jun 30, 2022",137.25,138.37,133.77,136.72,135.91
"Jun 29, 2022",137.46,140.67,136.67,139.23,138.40
"Jun 28, 2022",142.13,143.42,137.32,137.44,136.62
"Jun 27, 2022",142.70,143.49,140.97,141.66,140.82
"Jun 24, 2022",139.90,141.91,139.77,141.66,140.82
"Jun 23, 2022",136.82,138.59,135.63,138.27,137.45
"Jun 22, 2022",134.79,137.76,133.91,135.35,134.55
"Jun 21, 2022",133.42,137.06,133.32,135.87,135.06
"Jun 17, 2022",130.07,133.08,129.81,131.56,130.78
"Jun 16, 2022",132.08,132.39,129.04,130.06,129.29
"Jun 15, 2022",134.29,137.34,132.16,135.43,134.63
"Jun 14, 2022",133.13,133.89,131.48,132.76,131.97
"Jun 13, 2022",132.87,135.20,131.44,131.88,131.10
"Jun 10, 2022",140.28,140.76,137.06,137.13,136.32
"Jun 09, 2022",147.08,147.95,142.53,142.64,141.79
"Jun 08, 2022",148.58,149.87,147.46,147.96,147.08
"Jun 07, 2022",144.35,149.00,144.10,148.71,147.83
"Jun 06, 2022",147.03,148.57,144.90,146.14,145.27
"Jun 03, 2022",146.90,147.97,144.46,145.38,144.52
"Jun 02, 2022",147.83,151.27,146.86,151.21,150.31
"Jun 01, 2022",149.90,151.74,147.68,148.71,147.83
