date,Open,High,Low,Close,Volume
"Jun 16, 2022",108.15,109.29,105.79,106.64,106.64
"Jun 15, 2022",108.90,112.06,108.12,110.39,110.39
"Jun 14, 2022",106.89,108.46,106.35,107.19,107.19
"Jun 13, 2022",107.45,109.22,106.59,106.88,106.88
"Jun 10, 2022",112.78,113.50,110.86,111.43,111.43
"Jun 09, 2022",116.34,118.35,114.87,114.92,114.92
"Jun 08, 2022",116.88,118.65,116.70,117.24,117.24
"Jun 07, 2022",115.65,117.75,115.13,117.23,117.23
"Jun 06, 2022",116.74,119.40,116.53,117.01,117.01
"Jun 03, 2022",115.99,116.36,113.67,114.56,114.56
"Jun 02, 2022",114.19,117.90,113.31,117.75,117.75
"Jun 01, 2022",114.93,117.40,113.55,114.14,114.14
